,Authors,Title,Subtitle,Publisher,Date Published,Description,ISBN-10,ISBN-13,Page Count,Print Type,Genres,Average Rating,Ratings Count,Image Link,Language,Preview Link,Sale Country,Saleability,E-Book,Summary
10,['Kenneth H. Rosen'],Discrete Mathematics and Its Applications,,"McGraw-Hill Science, Engineering & Mathematics",2003,"Discrete Mathematics and its Applications is a focused introduction to the primary themes in a discrete mathematics course, as introduced through extensive applications, expansive discussion, and detailed exercise sets. These themes include mathematical reasoning, combinatorial analysis, discrete structures, algorithmic thinking, and enhanced problem-solving skills through modeling. Its intent is to demonstrate the relevance and practicality of discrete mathematics to all students. The Fifth Edition includes a more thorough and linear presentation of logic, proof types and proof writing, and mathematical reasoning. This enhanced coverage will provide students with a solid understanding of the material as it relates to their immediate field of study and other relevant subjects. The inclusion of applications and examples to key topics has been significantly addressed to add clarity to every subject. True to the Fourth Edition, the text-specific web site supplements the subject matter in meaningful ways, offering additional material for students and instructors. Discrete math is an active subject with new discoveries made every year. The continual growth and updates to the web site reflect the active nature of the topics being discussed. The book is appropriate for a one- or two-term introductory discrete mathematics course to be taken by students in a wide variety of majors, including computer science, mathematics, and engineering. College Algebra is the only explicit prerequisite.",0072424346,9780072424348,906.0,BOOK,['Computer science'],4.0,1.0,http://books.google.com/books/content?id=2ue3PwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=2ue3PwAACAAJ&dq=isbn:9780072424348&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"The book is appropriate for a one- or two-term introductory discrete mathematics course to be taken by students in a wide variety of majors, including computer science, mathematics, and engineering."
11,"['Michael T. Goodrich', 'Roberto Tamassia']",Data Structures and Algorithms in Java,,John Wiley & Sons Incorporated,2004,"Data Structures and Algorithms in Java, Second Edition is designed to be easy to read and understand although the topic itself can be quite complicated. Algorithms are the procedures that software programs use to manipulate data structures. Besides clear and simple example programs, the author includes a workshop as a small demonstration program executable on a web browser. The programs demonstrate in graphical form what data structures look like and how they operate. In the second edition, the program is rewritten to improve operation and clarify the algorithms, the example programs are revised to work with the latest version of the Java JDK, and questions and exercises will be added at the end of each chapter making the book more useful to readers.",UCSC:32106017292035,9780471469834,681.0,BOOK,['Computers'],,,http://books.google.com/books/content?id=Xm0hAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=Xm0hAQAAIAAJ&dq=isbn:9780471469834&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"Now fully revised and updated, this Third Edition features an entirely new chapter on recursion, expanded coverage of splay trees, and new examples and programming exercises throughout."
12,['Cay S. Horstmann'],Big Java,,John Wiley & Sons Incorporated,2008,"This edition of Horstmann's bestselling text helps you absorb computing concepts and programming principles, develop strong problem-solving skills, and become a better programmer, all while exploring the elements of Java that are needed to write real-life programs.",UCSD:31822034759878,9780470105542,1204.0,BOOK,['Computers'],3.0,1.0,http://books.google.com/books/content?id=nYU_AQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=nYU_AQAAIAAJ&dq=isbn:9780470105542&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"This edition of Horstmann&#39;s bestselling text helps you absorb computing concepts and programming principles, develop strong problem-solving skills, and become a better programmer, all while exploring the elements of Java that are needed to ..."
13,['Robin Nixon'],"Learning PHP, MySQL & JavaScript","With JQuery, CSS & HTML5",O'Reilly Media,2018-06,"""In this [book] ... web designers will learn how to use the technologies [presented in this book] and pick up ... web programming practices along the way--including how to optimize websites for mobile devices""--Amazon.com.",1491978910,9781491978917,832.0,BOOK,['Computers'],,,http://books.google.com/books/content?id=Qcq6swEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=Qcq6swEACAAJ&dq=isbn:9781491978917&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,&quot;In this [book] web designers will learn how to use the technologies [presented in this book] and pick up web programming practices along the way--including how to optimize websites for mobile devices&quot;--
14,['Jon Duckett'],JavaScript and JQuery,Interactive Front-End Web Development Hardcover,John Wiley & Sons,2014-07-21,"This book covers: 1. Basic programming concepts - assuming no prior knowledge of programming beyond an ability to create a web page using HTML & CSS ; 2. Core elements of the JavaScript language - so you can learn how to write your own scripts from scratch ; 3. jQuery - which will allow you to simplify the process of writing scripts (this is introduced half-way through the book once you have a solid understanding of JavaScript) ; 4. How to recreate techniques you will have seen on other web sites such as sliders, content filters, form validation, updating content using Ajax, and more. Each chapter: Breaks subjects down into bite-sized chunks with a new topic on each page ; Contains clear descriptions of syntax, each one demonstrated with inspiring code samples ; Uses diagrams and photography to explain complex concepts in a visual way. This book enables you to use & customize thousands of scripts, JavaScript APIs, and jQuery plugins that are freely available on the web as well as create your own scripts from scratch.",9781118871652,9781118871652,640.0,BOOK,['Computers'],,,http://books.google.com/books/content?id=_uTRAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,en,http://books.google.ca/books?id=_uTRAwAAQBAJ&printsec=frontcover&dq=isbn:9781118871652&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"Duckett speaks directly to readers, making this an invaluable resource. This book is also available as a set, Web Design with HTML, CSS, JavaScript and jQuery Set 978119038634 along with HTML and CSS Design and Build Websites 9781118871645."
15,['Alisa J. Golden'],Making Handmade Books,"100+ Bindings, Structures & Forms",Lark Books,2011-01,"Offers instructions on folding, gluing, and sewing handmade books in a variety of shapes and styles.",1600595871,9781600595875,256.0,BOOK,['Crafts & Hobbies'],,,http://books.google.com/books/content?id=xyz2QwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=xyz2QwAACAAJ&dq=isbn:9781600595875&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"Offers instructions on folding, gluing, and sewing handmade books in a variety of shapes and styles."
16,['Scott Kelby'],The Digital Photography Book,The Step-by-step Secrets for how to Make Your Photos Look Like the Pros'!,Pearson Education,2013,"Furnishes an overview of digital photography, covering such topics as cameras, exposure, lighting, shutter speed, depth of field, and resolution--and tips on how to avoid hours of photo-editing by taking great photographs the first time.",9780321934949,9780321934949,239.0,BOOK,['Photography'],4.0,42.0,http://books.google.com/books/content?id=6TNvAQAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=6TNvAQAAQBAJ&dq=isbn:9780321934949&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"Furnishes an overview of digital photography, covering such topics as cameras, exposure, lighting, shutter speed, depth of field, and resolution--and tips on how to avoid hours of photo-editing by taking great photographs the first time."
17,['Michio Kaku'],The Future of Humanity,"Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth",Doubleday,2018,"The #1 bestselling author of The Future of the Mind traverses the frontiers of astrophysics, artificial intelligence, and technology to offer a stunning vision of man's future in space, from settling Mars to traveling to distant galaxies. Formerly the domain of fiction, moving human civilization to the stars is increasingly becoming a scientific possibility--and a necessity. Whether in the near future due to climate change and the depletion of finite resources, or in the distant future due to catastrophic cosmological events, we must face the reality that humans will one day need to leave planet Earth to survive as a species. World-renowned physicist and futurist Michio Kaku explores in rich, intimate detail the process by which humanity may gradually move away from the planet and develop a sustainable civilization in outer space. He reveals how cutting-edge developments in robotics, nanotechnology, and biotechnology may allow us to terraform and build habitable cities on Mars. He then takes us beyond the solar system to nearby stars, which may soon be reached by nanoships traveling on laser beams at near the speed of light. Finally, he brings us beyond our galaxy, and even beyond our universe, to the possibility of immortality, showing us how humans may someday be able to leave our bodies entirely and laser port to new havens in space. With irrepressible enthusiasm and wonder, Dr. Kaku takes readers on a fascinating journey to a future in which humanity may finally fulfill its long-awaited destiny among the stars.",0385542763,9780385542760,339.0,BOOK,['Science'],3.0,7.0,http://books.google.com/books/content?id=d7ktygEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=d7ktygEACAAJ&dq=isbn:9780385542760&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,Kaku explores ... the process by which humanity may gradually move away from the planet and develop a sustainable civilization in outer space&quot;--
18,"['Storm Dunlop', 'Wil Tirion']",2019 Guide to the Night Sky,,Firefly Books,2018-09-18,"""With 2018 Guide to the Night Sky, amateur astronomers can view the sky over the course of a year and not miss a thing. It is also a compact and comprehensive introduction to astronomy... The small and light format makes this book the ideal portable reference."" -- Lunar and Planetary Information Bulletin The ideal resource for beginning sky watchers is updated for 2019 sky activity. For many years, Firefly Books has published Guide to the Night Sky annuals that cover events to occur the upcoming year in North America's night sky. This year's edition provides all of the guidance, information and data an amateur astronomer needs to view the sky over the course of the coming year and not miss a thing. It is a compact and comprehensive introduction to astronomy and the equipment needed, while sky watchers with more experience can use the book as a calendar reference for all of 2019. Using the charts and maps and following the accessible text, sky watchers can enjoy viewing the night sky with nothing more complicated than a pair of binoculars or the naked eye. The maps are centered on latitude 40 degrees North helping backyard astronomers in the United States and Canada see how visible stars change over the year, and ensure that they catch the exciting sky events that occur. In addition to the month-by-month guides, the book includes an introduction to the planets, the moon and the sky, and comprehensive back matter. The book's small and light format makes it the ideal portable reference for backyard viewing. 2019 Guide to the Night Sky is a fabulous introduction for new astronomers and sky watchers who don't want to miss a thing.",0228101050,9780228101055,96.0,BOOK,['Reference'],,,http://books.google.com/books/content?id=lJwetQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=lJwetQEACAAJ&dq=isbn:9780228101055&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"&quot;A comprehensive month-by-month handbook to the stars and constellations visible from North America in 2019, this practical guidebook is both an easy introduction to astronomy and a useful reference for seasoned stargazers."
19,['Charles Petzold'],Code,The Hidden Language of Computer Hardware and Software,,2000,A discussion of the history and future of coding theory celebrates the ingenuity of language systems and their uses from Braille and Morse code through binary codes to 32-bit operating systems.,UOM:39015056941902,9780735611313,393.0,BOOK,['Computers'],4.0,13.0,http://books.google.com/books/content?id=gYlQAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=gYlQAAAAMAAJ&dq=isbn:9780735611313&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,A discussion of the history and future of coding theory celebrates the ingenuity of language systems and their uses from Braille and Morse code through binary codes to 32-bit operating systems.
20,['Square Enix'],Octopath Traveler: The Complete Guide,,Dark Horse Comics,2020-12-01,"Master Square Enix's critically acclaimed RPG Octopath Traveler with this comprehensive guide! Explore every corner of Orsterra with the help of this complete guide which includes insight and explanation of the main narrative as well as boss strategies for each of the games' eight protagonists! Dive deeper with detailed environment maps, subquest information, and beautiful illustrations that fully realize Octopath Traveler's HD-2D graphics with exclusive explanations and commentary from the development team. Dark Horse Books and Square Enix present a faithful localization of the original Japanese volume, offered in English for the first time! Whether you're a first-time player or looking to take your game to one hundred percent completion, this guide book is not to be missed!",9781506719672,9781506719672,224.0,BOOK,['Games & Activities'],,,http://books.google.com/books/content?id=wu9KEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,en,http://books.google.ca/books?id=wu9KEAAAQBAJ&printsec=frontcover&dq=isbn:9781506719672&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,Master Square Enix&#39;s critically acclaimed RPG Octopath Traveler with this comprehensive guide!
21,['Blake Crouch'],Recursion,A Novel,Ballantine Books,2019,"New York City cop Barry Sutton investigates the devastating phenomenon the media has dubbed False Memory Syndrome-- a mysterious affliction that drives its victims mad with memories of a life they never lived. Neuroscientist Helena Smith dedicated her life to creating a technology that will let us preserve our most precious moments of our pasts. If she succeeds, anyone will be able to re-experience a first kiss, the birth of a child, the final moment with a dying parent. Together they face a force that attacks not just our minds but the very fabric of the past. Memory makes reality-- and the force is beginning to unmake the world as we know it. -- adapted from jacket.",9781524759780,9781524759780,329.0,BOOK,['Fiction'],4.0,55.0,http://books.google.com/books/content?id=D6uZDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,en,http://books.google.ca/books?id=D6uZDwAAQBAJ&printsec=frontcover&dq=isbn:9781524759780&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,New York City cop Barry Sutton investigates the devastating phenomenon the media has dubbed False Memory Syndrome-- a mysterious affliction that drives its victims mad with memories of a life they never lived.
